# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Wed, 01 Nov 2023 03:09:09 +0100
#
# IP	number of (black)lists
#
80.82.77.33	10
38.97.116.244	10
180.101.88.198	10
76.217.49.75	9
50.205.28.140	9
80.82.77.139	9
12.36.54.51	9
71.6.135.131	9
189.6.45.130	9
43.134.107.99	9
93.174.95.106	9
36.110.228.254	9
183.109.168.231	9
222.168.30.19	9
164.132.200.213	9
61.76.169.138	9
59.4.9.69	9
222.107.41.23	9
103.196.30.107	9
125.71.200.138	9
128.199.99.204	8
61.153.208.38	8
211.218.194.133	8
112.120.122.88	8
203.229.159.166	8
112.167.69.74	8
112.64.32.118	8
162.142.125.225	8
196.20.68.81	8
218.92.0.34	8
218.92.0.31	8
165.22.217.96	8
64.227.190.12	8
185.220.102.248	8
121.186.6.200	8
165.227.166.247	8
218.92.0.76	8
82.200.65.218	8
220.70.178.130	8
41.207.248.204	8
171.25.193.77	8
218.92.0.107	8
167.248.133.39	8
194.152.206.17	8
218.92.0.56	8
95.156.96.46	8
111.13.102.171	8
61.177.172.136	8
68.183.132.72	8
218.56.155.106	8
157.230.83.80	8
59.2.52.122	8
124.65.227.154	8
202.152.125.16	8
80.229.18.62	8
80.253.31.232	8
211.253.10.96	8
59.28.87.5	8
165.22.16.134	8
66.240.236.116	8
167.94.138.52	8
81.17.22.118	8
85.209.11.227	8
61.177.172.179	8
121.131.12.245	8
162.142.125.12	8
222.104.132.88	8
122.166.156.246	8
147.78.103.182	8
146.185.159.124	8
118.45.177.50	8
211.223.109.125	8
118.36.20.126	8
171.25.193.78	8
211.57.67.231	8
221.165.166.95	8
162.142.125.10	8
115.85.80.74	8
45.88.90.129	8
80.66.88.222	8
167.248.133.52	8
61.177.172.140	8
218.92.0.29	8
218.92.0.22	8
218.92.0.25	8
218.92.0.24	8
218.92.0.27	8
122.4.70.58	8
185.74.4.189	8
167.94.138.124	8
61.177.172.160	8
101.42.25.236	8
185.56.83.83	8
170.64.216.224	8
125.212.233.50	8
190.144.14.170	8
162.142.125.217	8
208.109.15.199	8
36.137.22.65	8
207.90.244.14	8
80.82.77.202	8
218.92.0.112	8
218.92.0.113	8
218.92.0.118	8
201.234.66.133	8
183.203.132.229	8
185.129.62.62	8
180.101.88.197	8
180.101.88.196	8
185.11.61.234	8
125.131.84.249	8
167.248.133.123	8
103.66.16.46	8
89.97.218.142	8
59.24.127.242	8
222.105.220.185	8
118.33.118.122	8
115.21.3.162	8
159.65.133.50	8
121.136.155.165	8
167.94.138.34	8
210.207.186.120	8
121.152.45.237	8
31.41.244.61	8
45.79.172.21	8
165.227.171.66	7
139.59.127.73	7
121.177.70.228	7
218.145.3.137	7
43.156.128.13	7
112.161.213.178	7
103.147.34.144	7
159.223.193.55	7
36.255.159.130	7
211.220.40.242	7
211.193.31.52	7
43.155.165.231	7
110.185.106.91	7
45.189.223.120	7
43.156.4.142	7
150.158.79.61	7
59.27.128.120	7
210.59.236.252	7
50.116.73.89	7
125.138.226.51	7
186.121.203.115	7
161.35.71.130	7
159.65.41.104	7
157.245.118.156	7
218.151.48.16	7
59.23.176.249	7
182.93.7.194	7
139.162.190.203	7
14.63.162.98	7
101.32.31.213	7
1.180.169.234	7
192.3.229.209	7
142.93.52.241	7
118.89.94.210	7
137.184.50.151	7
112.28.209.67	7
197.248.180.212	7
61.80.179.118	7
43.128.68.45	7
64.227.138.165	7
45.62.123.87	7
186.10.86.130	7
43.153.72.112	7
203.228.26.201	7
14.53.134.163	7
93.120.240.202	7
92.255.195.59	7
27.72.155.100	7
43.130.61.56	7
43.153.109.215	7
172.104.11.34	7
96.78.175.42	7
165.22.190.234	7
96.93.196.89	7
14.43.231.49	7
118.123.105.85	7
139.186.165.100	7
167.94.146.60	7
91.144.20.198	7
118.101.192.62	7
211.112.187.197	7
203.205.37.233	7
119.4.250.94	7
159.89.195.23	7
43.156.29.177	7
121.181.242.130	7
45.79.181.251	7
154.221.27.153	7
14.33.138.19	7
114.199.123.211	7
178.62.50.191	7
220.122.216.180	7
45.13.119.146	7
118.69.77.88	7
139.59.16.54	7
128.199.33.46	7
167.248.133.190	7
167.248.133.191	7
181.28.101.14	7
202.87.227.205	7
115.21.245.216	7
45.95.146.102	7
43.133.36.226	7
165.232.166.37	7
159.89.165.153	7
218.255.245.10	7
172.104.11.46	7
192.241.157.126	7
59.27.138.121	7
183.56.249.42	7
162.247.74.74	7
62.105.137.105	7
110.227.203.10	7
161.35.108.241	7
170.205.67.52	7
103.147.242.68	7
122.160.65.215	7
45.20.209.253	7
45.33.80.243	7
186.67.248.5	7
125.135.90.136	7
64.227.126.250	7
133.186.146.39	7
123.31.29.192	7
81.192.120.41	7
207.154.228.201	7
119.6.89.224	7
175.204.246.184	7
162.142.125.221	7
43.133.206.61	7
43.128.104.71	7
134.122.97.32	7
175.215.5.219	7
43.133.102.2	7
118.40.114.121	7
220.88.1.208	7
115.23.206.148	7
175.24.226.99	7
95.56.248.141	7
14.35.208.53	7
144.34.174.80	7
172.104.11.51	7
64.227.176.121	7
162.142.125.216	7
200.122.249.203	7
110.235.243.121	7
182.31.134.213	7
43.134.55.65	7
182.225.134.13	7
167.248.133.33	7
222.108.177.110	7
178.128.91.164	7
75.87.9.229	7
121.129.93.181	7
143.110.230.201	7
45.192.176.21	7
203.251.85.160	7
167.71.190.175	7
35.207.98.222	7
37.194.206.12	7
165.232.124.31	7
164.77.117.10	7
103.176.78.193	7
201.76.115.102	7
220.100.17.96	7
5.42.86.47	7
167.248.133.51	7
218.146.13.72	7
121.201.125.243	7
43.156.243.235	7
218.146.45.156	7
211.198.192.172	7
186.201.17.22	7
43.153.98.47	7
159.223.12.224	7
59.97.206.127	7
34.91.0.68	7
178.20.55.16	7
43.155.185.58	7
211.37.147.81	7
200.118.99.170	7
221.229.218.50	7
211.51.73.64	7
186.10.125.209	7
51.89.153.112	7
43.156.93.19	7
43.159.194.228	7
220.75.180.110	7
128.14.188.107	7
167.94.138.36	7
46.101.5.100	7
185.130.47.58	7
192.155.90.118	7
157.245.98.245	7
43.156.237.143	7
188.149.185.45	7
43.159.131.232	7
221.156.126.1	7
179.131.10.103	7
103.224.152.30	7
201.249.204.178	7
198.12.255.244	7
180.71.47.198	7
78.109.200.208	7
112.161.117.124	7
221.223.241.181	7
177.91.83.15	7
43.154.95.120	7
43.163.200.216	7
103.251.167.20	7
185.180.143.75	7
185.180.143.76	7
43.134.176.82	7
67.217.57.54	7
83.100.164.237	7
106.51.3.214	7
203.172.76.4	7
43.156.162.193	7
211.218.156.30	7
125.229.193.29	7
51.250.88.173	7
198.96.155.3	7
107.180.88.176	7
43.129.35.207	7
82.156.171.245	7
46.101.23.51	7
43.153.25.166	7
101.35.219.249	7
101.89.190.154	7
201.70.52.10	7
150.136.46.13	7
49.249.220.180	7
165.232.164.156	7
14.39.52.41	7
119.167.219.132	7
71.6.232.22	7
119.201.206.141	7
109.132.238.5	7
27.71.16.216	7
211.210.152.106	7
159.65.128.16	7
190.104.25.210	7
60.217.75.70	7
194.93.25.245	7
200.10.96.115	7
109.196.143.106	7
220.90.224.186	7
45.155.126.4	7
43.156.30.2	7
43.157.50.168	7
175.207.13.22	7
165.227.101.226	7
210.198.167.82	7
42.200.78.78	7
201.99.120.13	7
212.47.226.70	7
210.146.144.34	7
211.253.9.49	7
41.175.18.170	7
198.12.224.136	7
43.128.88.244	7
167.94.138.51	7
167.94.138.50	7
180.64.115.229	7
216.230.138.138	7
43.156.42.52	7
96.78.175.38	7
125.19.235.76	7
195.144.21.56	7
220.92.146.200	7
189.203.203.66	7
120.53.27.90	7
71.6.199.23	7
125.99.173.162	7
116.169.59.68	7
43.153.108.66	7
43.156.122.96	7
153.156.0.157	7
85.209.11.226	7
35.199.73.100	7
167.71.236.26	7
43.156.240.183	7
43.156.240.186	7
77.83.93.138	7
14.51.236.218	7
175.200.99.198	7
119.206.116.6	7
207.90.244.3	7
207.90.244.6	7
128.199.194.1	7
185.180.143.12	7
185.180.143.11	7
59.17.151.148	7
203.243.54.141	7
186.103.169.12	7
167.94.138.33	7
213.87.101.176	7
201.145.236.189	7
43.155.184.226	7
47.149.31.206	7
84.54.51.23	7
223.240.116.60	7
94.102.61.20	7
159.223.125.135	7
183.109.213.146	7
66.240.219.146	7
124.7.227.98	7
118.45.45.229	7
172.104.11.4	7
206.81.25.18	7
181.204.214.130	7
45.79.128.205	7
186.235.70.46	7
167.94.146.56	7
167.94.146.58	7
167.71.38.185	7
143.244.172.59	7
43.154.97.145	7
118.40.41.219	7
198.23.149.3	7
211.219.250.35	7
159.192.143.249	7
188.234.247.110	7
182.16.179.214	7
71.6.134.235	7
71.6.134.234	7
172.104.210.105	7
43.156.44.175	7
27.72.155.116	7
77.91.70.87	7
129.226.83.251	7
171.212.103.245	7
27.131.36.170	7
124.160.96.242	7
43.153.58.120	7
187.51.208.158	7
103.37.83.26	7
118.36.15.126	7
59.11.76.203	7
111.230.198.63	7
66.240.236.109	7
103.170.246.85	7
138.2.10.151	7
122.168.194.41	7
119.207.86.182	7
118.43.95.157	7
94.179.133.22	7
185.74.7.106	7
42.49.216.35	7
43.159.40.177	7
192.155.90.220	7
112.186.156.52	7
210.126.78.57	7
114.118.10.141	7
74.82.47.2	7
187.141.135.181	7
37.193.112.180	7
159.65.231.164	7
192.241.171.230	7
185.68.145.163	7
175.215.39.120	7
161.35.231.77	7
203.205.37.224	7
190.117.113.32	7
182.61.48.26	7
146.190.227.169	7
43.153.208.27	7
134.17.16.40	7
118.40.152.176	7
43.156.83.142	7
43.134.228.98	7
182.160.107.69	7
185.224.128.160	7
43.153.216.92	7
167.248.133.182	7
167.248.133.184	7
167.248.133.189	7
220.78.79.212	7
167.94.138.125	7
167.94.138.126	7
167.94.138.127	7
47.180.114.229	7
211.222.180.69	7
192.81.213.50	7
119.203.230.19	7
43.131.235.219	7
43.153.87.16	7
61.219.11.155	7
190.123.90.180	7
112.167.52.238	7
124.89.116.178	7
218.56.160.82	7
182.79.68.42	7
43.134.231.58	7
200.108.143.6	7
220.118.142.60	7
103.139.192.182	7
137.184.61.209	7
221.216.7.58	7
